Name,Access_Type,Best_Time_to_Dive,Community_Notes,Conservation_Info,Coordinates,Current_and_Surge,Data_Integration_Suggestion,Depth_Range,Dive_Site_Layout,Entry_Conditions,Experience_Level,Habitat_Type,Image_Header,Learn_Section,Location_Description,Marine_Species,Region,Seasonal_Events,Unique_Features,User_Experience,Visibility,Visual_Media,Water_Temperature
AMMO Jetty,Shore dive from jetty (walk-in),"Calm conditions with swell <1.5 m, swell period ~11 s, east to southeast wind. Northerlies increase cross-current; westerlies enhance swell.",Local divers contribute maps and macro-life sketches; annual cleanup events hosted by Dolphin Dive,Located in John Graham Reserve; frequent clean���ups by local dive shops maintain site health,"32�07'27.9""S 115�45'26.0""E",Mild currents common; jetty offers partial shelter from southwest swell due to groins and islands,"Real���time swell, wind and tide data could be integrated via oceanographic APIs",Up to ~9 m,Dive one side of jetty pylons out ~100 m then return on opposite side; complete loop covers entire jetty length,"Easy access via jetty steps; shaded on one side in morning, sunny on the other. Toilets and rinse showers near car park.",Beginner to Intermediate (Open Water certification; good for refresher courses),Artificial reef (jetty with silty rubble seabed and colonised pylons),Concrete jetty extending into shallow waters with encrusted pylons and macro-life between plugs,"https://www.notion.so/2187d3cb03ad80fa95eae01c52510359?pvs=21, 
https://www.notion.so/2957d3cb03ad8080a5d5f27d11abca1f?pvs=21",Approximately 15 minutes south of Fremantle; around 40 km from Perth CBD. Adjacent to Woodmans Point Groin in John Graham Reserve.,"Leatherjackets, pygmy filefish, crested morwong schools, boxfish, flatworms, anemones, occasional rays, dolphins, sea lions","Near Fremantle, Western Australia",Enhanced life after storms clear sediment; ray sightings during night dives,Rich macro hotspot; photo���worthy encrusted pylons; occasional pelagics and marine mammals,Occasional fishing line entanglement under jetty; bring dive knife and maintain buoyancy to protect silt bottom,"3���4 m typically, <1 m after storms, rarely 10���15 m on very calm days","Gallery and videos show octopuses, crustaceans, anemones and flatworms among pylons",~16���22 �C seasonally
Blackwall Reach,Shore dive via bush track; wade ~200 m before descending,"Stable weather; avoid days after rainfall releasing tannins and silt; calm, cool���weather days give clearest conditions",Use torch and gloves; grid���style navigation and landmark tracking help avoid disorientation in murky water,Outside a marine park but within a recreational reserve; divers must use a surface marker buoy and be cautious of watercraft,"32�01'16.4""S 115�46'58.9""E","Mild currents near bank, increasing further into river; boat traffic and ferry wake cause disturbance",Link tide and turbidity data from local agencies (BOM or council APIs) to assist planning,Shallow to ~15 m in river channel,"Typical route begins at buoy 527 and follows a shallow wall toward buoy 716, passing sunken cars, old barges and debris",Entry via small beach; silty underfoot; surface swim to buoy markers before descending,Open Water certified divers with moderate experience and good navigation skills,"Freshwater���estuarine ecosystem with submerged barges, cars and other wreckage forming an urban reef",Calm river scene with mooring buoys and tree���lined steep banks; photos show entry points and underwater wreckage,"https://www.notion.so/2937d3cb03ad80be89c2f3698709f4b6?pvs=21; 
https://www.notion.so/2947d3cb03ad80eebe17ef61e7e47ce0?pvs=21",Situated at end of Blackwall Reach Parade near Point Walter; ~20���minute drive from central Perth; within recreational reserve along the Swan River,"Bream, stripeys, moon and white���spotted jellyfish, gobbleguts, tube worms, occasional crabs or shrimp","Swan River, Perth metropolitan area",Jellyfish blooms more common in warmer months; fish activity varies with clarity and oxygen levels,One of Perth�۪s only accessible freshwater wreck dives blending an urban setting with surprising biodiversity,Feels like a treasure hunt ��� murky but fascinating; requires good buoyancy and navigation skills,1���4 m; reduced after storms or rain; occasionally up to 5 m on exceptional days,"Photos show jellyfish, rusted wreckage and murky conditions; videos highlight gobbleguts and anemones on debris",16���22 �C
Bulk Jetty,Shore dive with surface swim to jetty structure,Low wind and slack tide; early mornings often provide calm water and best visibility,Avoid busy times due to boat traffic; some divers share sketches of the pylon layout to plan entry and exit,Not a marine park; general rules on fishing and handling marine life apply; avoid disturbing organisms,"32�12'36.0""S 115�46'02.3""E",Light current along jetty; surge can build near entrance if wind picks up; be mindful of boat wash and swell,,3���10 m depending on tide and distance along jetty,"Jetty runs straight into the ocean; divers follow one side exploring pylons and crossbeams, then return along the other side",Enter from soft sandy beach; gradual slope; watch for boat traffic; swim to pylons before descending,Beginners to intermediate; awareness of current and visibility important,Artificial reef formed by jetty pylons colonised by marine growth and invertebrates,Long industrial jetty extending into Cockburn Sound with pylons disappearing into blue���green water," https://www.notion.so/2947d3cb03ad8036bd8ec4d95c40b745?pvs=21, https://www.notion.so/2947d3cb03ad80eebe17ef61e7e47ce0?pvs=21;",Near Kwinana Beach in industrial maritime zone south of Fremantle; access from Kwinana Beach car parks,"Schools of scalyfin, bullseyes, herring; octopuses, seahorses, cuttlefish; occasional port jackson sharks or stingrays; nudibranchs and soft corals","Kwinana, south of Perth",Warmer months bring more juvenile fish; spring���summer may see cuttlefish and squid activity,Contrast between industrial structure and natural colonisation; great urban ecology dive and macro photography spot,"Surprisingly rich in life despite industrial location; easy access and reliable sightings, though visibility varies",5���10 m on average; can drop due to swell or sediment; significantly reduced after storms,"Photos highlight schooling fish, nudibranchs, seahorses and industrial beams colonised by corals",18���24 �C
Camilla Wreck,Shore dive with beach entry and short surface swim,Calm weather with minimal wind and swell; site is exposed and lacks protection from rough conditions,Use a dive flag due to proximity to boat traffic; site also suitable for snorkelling,Protected under maritime legislation; divers should not disturb or remove artifacts,"32�11'15.6""S 115�46'27.2""E",Minimal currents due to shallow depth; be cautious of boat traffic and potential swell from nearby jetty,,Up to ~3.6 m,"From beach, swim ~80 m west to the wreck; wreck ~10 m long in shallow water surrounded by paddle grass beds","Enter from sandy beach, walk north ~120 m to erosion point in dunes then head west into water",Beginners and snorkelers,Shallow wreck surrounded by paddle grass and sandy seabed,Remnants of wreckage in shallow water surrounded by paddle grass and sandy seabed with sea anemones,"https://www.notion.so/2947d3cb03ad808f869ac18f4eeadedb?pvs=21, https://www.notion.so/2967d3cb03ad8049a4bbc69dd5a29a71?pvs=21",Access via Challenger Beach off Sutton Road from Cockburn Road; wreck lies ~80 m offshore near the ALCOA Jetty,"Small schools of stripeys, cardinalfish, wavy grubfish; sea anemones in paddle grass; occasional octopuses and nudibranchs","Cockburn Sound near Kwinana, south of Perth",Warmer months may increase activity among resident species,Easy access and shallow depth make it ideal for beginners and those interested in maritime history,"Simple, accessible dive with limited visibility; historical context adds interest despite modest marine life",Low to moderate; silty conditions and easily disturbed sediment; careful finning needed,"Photos and videos show wreck remains, sea anemones and site layout",18���24 �C
Kwinana Grain Terminal (KGT),Shore dive from beach via sandy path leading to water,Calm weather with minimal swell and wind; avoid when large vessels are docked,"Suitable for macro photography due to abundance of small creatures; caution regarding entry/exit, boat traffic and fishing activities","Not a marine park; divers should respect regulations, avoid disturbing marine life, be cautious of fishing lines and boat traffic","32�15'27.3""S 115�45'02.3""E","Currents influenced by wind and swell; northerlies generate current, westerlies increase swell effects",,4���15 m with deeper sections toward the end of the jetty,Jetty extends ~800 m with about 450 m diveable; follow jetty structure exploring marine life on pylons; deeper sections near end,Walk down sandy path to beach then surface swim to desired descent point,Open Water certified divers with moderate experience; length and currents require good air management and navigation,Artificial reef formed by jetty pylons providing shelter and feeding grounds,Expansive jetty structure extending into Cockburn Sound with pylons encrusted in marine life and industrial backdrop,https://www.notion.so/2947d3cb03ad80eebe17ef61e7e47ce0?pvs=21; https://www.notion.so/2967d3cb03ad8088a578fd173ba98a1a?pvs=21,Off Rockingham Beach Road; ~45 minutes from Perth CBD and 30 minutes from Fremantle; working grain terminal operated by CBH Group,"Nudibranchs, seahorses, cuttlefish; blue swimmer crabs, razor clams, sand dollars; soft and brain corals; occasional dolphins and stingrays","Kwinana Beach, south of Perth",Warmer months may bring increased activity of cuttlefish and seahorses,Long jetty offering unique experience with variety of species in artificial reef setting,Enjoyable site with accessible entry and rich biodiversity; careful air management and navigation required,5���10 m average; may decrease due to swell or sediment disturbance,"Photos and videos show jetty structure, seahorses, nudibranchs and general environment",18���24 �C
Long Jetty (Ocean Jetty),Shore dive with beach entry and short swim to jetty remains,Calm weather with minimal wind and swell; westerly winds introduce debris and reduce visibility,Suitable for skill practice; often described as uninspiring due to limited life and poor visibility,Historic site under Maritime Archaeology Act 1973; divers should not disturb or collect artifacts,"32�03'33.0""S 115�44'27.4""E",Minimal currents; surge possible during unfavorable weather,,3���4.5 m,Around 30 visible pylons extend 65 m into bay with submerged pylons up to 170 m; explore along groin wall and shallow structures,Enter from sandy beach near visible pylon; submerged pylons close to shore pose tripping hazards,Beginners and snorkelers,Artificial reef from jetty and groin remnants with sandy bottom and sparse seagrass,Remnants of historic jetty extending into the bay with visible pylons and submerged sections,"https://www.notion.so/2947d3cb03ad8066b9ded3e7d2158452?pvs=21, https://www.notion.so/2947d3cb03ad806fb565e77d2b65dbdf?pvs=21",Off Mews Road in Fremantle near Little Creatures Brewery and Cicerello's; accessible from car park adjacent to beach,Blennies among pylons; white mussels attached to structures; occasional buff bream,"Bathers Beach, Fremantle",Marine life presence fairly consistent year���round,Historical significance as Fremantle�۪s original port facility,"Generally disappointing; poor visibility, minimal marine life and debris accumulation; recommended mainly for training or historical interest","Generally low, especially after storms or strong winds due to debris accumulation in cove","Images show remaining pylons above and below water, sandy bottom and sparse growth",18���24 �C
Marmion Angling & Aquatic Club (MAAC),Shore dive via boat ramp or adjacent beach,After several days of low easterly winds and minimal swell; early mornings with gentle southerlies can also be suitable,Good for beginners; check conditions due to surge and shallow reef areas,Within Marmion Marine Park; follow conservation guidelines and avoid disturbing habitats,"31�50'21.1""S 115�44'56.1""E",Minimal currents; surge significant near reef top; avoid being lifted onto shallow reef,,5���7 m; reef top ~0.5 m below surface,Main reef directly ahead from entry with secondary deeper reef ~80 m to south; explore inlets and overhangs,Enter from ramp or beach; check gear at water's edge; caution of waves breaking over reef and surge during exit,Novice to intermediate; shallow and accessible but surge and reef proximity require caution,Natural limestone reef with adjacent seagrass beds,Club boat ramp leading into Indian Ocean with nearby reef formations visible under the surface,https://www.notion.so/2957d3cb03ad808cbeffdbdceb856e0a?pvs=21; https://www.notion.so/2957d3cb03ad8017a8b5fe789c350eac?pvs=21,"On West Coast Drive, ~15 minutes north of Perth CBD and 10 minutes south of Hillarys Boat Harbour; within Marmion Marine Park","Bream, red���lipped morwong, trevally, scalyfins, moonlighters, stripeys; occasional weedy sea dragons; staircase sponges and egg urchins in seagrass","Marmion, northern Perth",No specific events; abundance varies seasonally,Presence of weedy sea dragons; accessible reef within marine park,Enjoyable site with varied marine life; caution regarding surge and shallow reef tops,Up to 20 m on rare perfect days; commonly around 6 m; influenced by swell and wind,Not specified; divers report abundant life and interesting formations,18���24 �C
Mettams Pool,Shore dive via beach steps or ramp from car park,Calm weather with minimal swell and easterly winds; early mornings best,Suitable for beginners; check conditions due to surge and shallow reef areas,Within Marmion Marine Park; adhere to conservation guidelines and avoid disturbing marine life,"31�52'02.4""S 115�45'07.2""E",Minimal currents; surge significant near reef top; avoid being lifted onto shallow reef areas,,1.5���7 m,Inner reef forms natural pool; outer reef offers more depth and diversity; explore inlets and overhangs,Enter from sandy beach; avoid sharp rocks; caution of waves breaking over reef; avoid high swell,Beginners and snorkelers,Natural limestone reef forming sheltered lagoon with adjacent seagrass beds,Natural limestone reef forming a sheltered lagoon with turquoise waters and gentle waves,https://www.notion.so/2957d3cb03ad808cbeffdbdceb856e0a?pvs=21; https://www.notion.so/2957d3cb03ad806ea4bbd5cdae508f02?pvs=21,Along West Coast Drive about 15���20 minutes north of Perth CBD; within Marmion Marine Park,"Red���lip morwong, banded sweep, bullseyes, wrasse, buffalo bream, sea mullet, tarwine, blowfish; sea anemones, cushion stars, abalone; sea fans and algae","North Beach, northern Perth",No specific events; marine life abundance varies with seasons,Natural beauty and accessibility; variety of marine life and reef structure,Enjoyable site with good marine life; caution regarding surge and shallow reef tops,Can exceed 20 m on calm days; commonly around 6 m; influenced by swell and wind,"Images show reef structure, fish and invertebrates, sandy bottom with sparse growth",18���24 �C
North Mole,Shore dive from disabled fishing ramp,Low swell and gentle to moderate winds; site protected from southwest swells,Challenging entry/exit; rope recommended; popular among experienced shore divers,Not a marine park; avoid disturbing marine life; caution with fishing lines and boat traffic,"32�03'10.9""S 115�43'34.0""E",Mild currents; surge significant near entry/exit points,,5���8.5 m with Gareenup Wreck ~75 m offshore,"From entry ramp, swim ~75 m at heading 355� to the wreck surrounded by seagrass beds and scattered wreckage","Steep, slippery rock slope; recommend 10���15 m rope for entry/exit",Intermediate to advanced; challenging entry and variable conditions,Artificial reef created by the Gareenup Wreck and surrounding rocky structures,"North Mole breakwater with red lighthouse extending into the Indian Ocean, rocky shoreline around",Navigating Challenging Shore Dive Entries; https://www.notion.so/2957d3cb03ad8056a565c1d0cf2c1b1f?pvs=21,End of North Mole Drive accessed via Rous Head Road in Fremantle; adjacent to Fremantle Harbour,"Crayfish, cuttlefish, octopus, wobbegongs; stingrays, nudibranchs, schooling fish; occasional port jackson and grey nurse sharks","Fremantle, Western Australia",No specific events; abundance varies seasonally,Historic wreck combined with diverse marine life and demanding entry makes this a distinctive dive,Rewarding but not for novices; proper preparation enhances experience,2���10 m influenced by swell and wind; calm weather improves clarity,"Images show entry slope, underwater environment around wreck and marine species",18���24 �C
Omeo Wreck,Shore dive via beach access path from Socrates Parade or Perlinte View,Calm weather with minimal swell and easterly winds; early mornings best,Suitable for beginners; check conditions due to surge and shallow reef areas,Protected heritage site; avoid touching or climbing on wreck; be cautious of fishing lines and boat traffic,"32�06'19.3""S 115�45'41.4""E",Minimal currents; surge significant near reef top,,2���7 m (most of trail 2.5���5 m),Includes the Omeo shipwreck and artificial reef structures extending ~200 m along southern breakwater; explore inlets and overhangs,Enter from sandy beach; avoid sharp rocks; caution of waves breaking over reef; avoid high swell,Snorkelers and novice divers,Artificial reef created by Omeo shipwreck and surrounding structures,"Partially submerged Omeo shipwreck with sternpost and bow sections protruding above water, clear shallow waters and artificial reef structures around",https://www.notion.so/2957d3cb03ad808cbeffdbdceb856e0a?pvs=21 https://www.notion.so/2957d3cb03ad806ea4bbd5cdae508f02?pvs=21,Approximately 25 m offshore from Coogee Beach near Socrates Parade; part of the Coogee Maritime Trail,"Wavy grubfish, stripeys, juvenile old wife, red���lip morwong, brownfields wrasse; nudibranchs, cuttlefish, crayfish, octopus; schooling fish; occasional stingrays, dolphins and sea lions","Coogee Beach, North Coogee",Marine life abundance varies seasonally,Historic wreck with diverse marine life; accessible and part of Coogee Maritime Trail,Enjoyable with varied marine life; caution regarding surge and shallow reef tops,Varies; can exceed 20 m on calm days; commonly around 6 m,"Images show wreck structure, fish and invertebrates and underwater environment",18���24 �C
Palm Beach Jetty,Shore dive from beach adjacent to jetty,Calm weather with minimal swell and easterly winds; early mornings best,Limited marine life and challenging visibility; proximity to other sites offers alternatives,"Not in marine park; respect regulations, avoid disturbing marine life, be cautious of fishing lines and boat traffic","-32.276486, 115.719971",Minimal currents; mild surge possible near jetty structure,,2���15 m (about 60 m of jetty diveable),Explore jetty pylons and debris fields; heading east (~90�) leads to floating pontoon and anchor buoy with additional submerged objects,Enter from sandy beach; watch for boat traffic and swimmers; avoid high swell,Novice divers and snorkelers,Artificial reef environment created by jetty structure and surrounding debris,125���m jetty extending into Mangles Bay with calm shallow waters and sandy beaches,https://www.notion.so/2957d3cb03ad808cbeffdbdceb856e0a?pvs=21; https://www.notion.so/2957d3cb03ad806ea4bbd5cdae508f02?pvs=21,At end of Fisher Street in Rockingham (~45 minutes south of Perth CBD) near the Rockingham Wreck Trail,"Blennies, seahorses, striped catfish; occasional nudibranchs and small schooling fish","Rockingham, Western Australia",Marine life abundance may vary seasonally,Easy access and shallow depth; near other Rockingham sites,Good for novices but may be unremarkable for experienced divers; caution of surge and minimal life,Up to ~6 m on calm days; often around 3 m; can drop after storms,"Images show jetty structure, blennies, seahorses and sandy bottom with sparse growth",18���24 �C
